Station Name,startKM,endKM,stationEntrySpeed(kmph)
NDLS,0.0,0.75,15.0
CSB,1.25,2.0,15.0
TKJ,2.62,3.37,15.0
PGMD,4.23,4.98,15.0
NZM,7.25,8.0,15.0
OKA,10.91,11.66,15.0
TKD,17.76,18.51,15.0
TKDC,23.51,24.26,15.0
FDB,28.05,28.8,15.0
FDN,32.06,32.81,15.0
BVH,36.06,36.81,15.0
AST,45.97,46.72,15.0
PWL,57.2,57.95,15.0
RDE,66.51,67.26,15.0
SHLK,76.94,77.69,15.0
BNCR,80.42,81.17,15.0
HDL,87.28,88.03,15.0
KSV,99.58,100.33,15.0
CHJ,109.78,110.53,15.0
AJH,119.79,120.54,15.0
VRBD,130.83,131.58,15.0
BTSR,138.19,138.94,15.0
MTJ,140.6,141.35,15.0
MSRP,149.51,150.26,15.0
CRG,151.8,152.55,15.0
JJA,157.91,158.66,15.0
RKR,161.77,162.52,15.0
DUM,165.82,166.57,15.0
BTE,174.16,174.91,15.0
SWAR,183.84,184.59,15.0
JCU,189.2,189.95,15.0
PNGR,195.51,196.26,15.0
KEV,204.1,204.85,15.0
SABD,208.51,209.26,15.0
BXN,216.04,216.79,15.0
DY,225.09,225.84,15.0
FSP,235.73,236.48,15.0
DNHK,240.65,241.4,15.0
HAN,248.95,249.7,15.0
SKDM,253.58,254.33,15.0
SMBJ,259.05,259.8,15.0
KNDP,266.48,267.23,15.0
PDZ,272.6,273.35,15.0
COO,280.49,281.24,15.0
GGC,293.25,294.0,15.0
LRU,299.55,300.3,15.0
NNW,310.09,310.84,15.0
NMD,319.75,320.5,15.0
MLZ,326.81,327.56,15.0
MXL,337.66,338.41,15.0
RNT,346.84,347.59,15.0
SMDC,353.2,353.95,15.0
SWM,356.88,357.63,15.0
KTA,364.13,364.88,15.0
RWJ,372.42,373.17,15.0
AMLI,380.17,380.92,15.0
IDG,393.1,393.85,15.0
LKE,404.05,404.8,15.0
LBN,411.69,412.44,15.0
GKB,421.05,421.8,15.0
KPZ,431.19,431.94,15.0
ARE,440.24,440.99,15.0
KPTN,451.24,451.99,15.0
GNCN,456.45,457.2,15.0
GQL,459.08,459.83,15.0
KCCN,462.33,463.08,15.0
KOTA,464.64,465.39,15.0
DKNT,473.95,474.7,15.0
DDV,480.65,481.4,15.0
ALNI,487.39,488.14,15.0
RDT,499.48,500.23,15.0
DARA,512.23,512.98,15.0
KIW,521.11,521.86,15.0
MKX,526.9,527.65,15.0
RMA,536.97,537.72,15.0
JHW,548.56,549.31,15.0
DKRA,554.83,555.58,15.0
BWM,565.03,565.78,15.0
KRLS,577.67,578.42,15.0
GOH,587.66,588.41,15.0
SGZ,598.21,598.96,15.0
SVA,611.91,612.66,15.0
NKH,617.51,618.26,15.0
CMU,627.29,628.04,15.0
TLZ,631.72,632.47,15.0
THUR,641.38,642.13,15.0
VMA,649.87,650.62,15.0
LNR,662.26,663.01,15.0
MEP,672.78,673.53,15.0
RLK,679.32,680.07,15.0
NAD,689.63,690.38,15.0
BRNA,697.64,698.39,15.0
KUH,703.4,704.15,15.0
RNH,713.82,714.57,15.0
BOD,721.23,721.98,15.0
RTME,727.64,728.39,15.0
RTM,730.98,731.73,15.0
RTD,732.57,733.32,15.0
MRN,741.82,742.57,15.0
BILD,751.0,751.75,15.0
RTI,757.88,758.63,15.0
BOG,769.79,770.54,15.0
BMI,776.06,776.81,15.0
AGR,780.06,780.81,15.0
PCN,789.39,790.14,15.0
BJG,796.34,797.09,15.0
THDR,803.2,803.95,15.0
MGN,811.27,812.02,15.0
ANAS,825.82,826.57,15.0
BIO,833.67,834.42,15.0
DHD,844.36,845.11,15.0
RET,849.3,850.05,15.0
JKT,854.77,855.52,15.0
USRA,862.19,862.94,15.0
MAM,867.42,868.17,15.0
LMK,875.8,876.55,15.0
PPD,883.68,884.43,15.0
SAT,895.63,896.38,15.0
CCL,904.6,905.35,15.0
KIZ,911.55,912.3,15.0
GDA,916.19,916.94,15.0
KRSA,926.79,927.54,15.0
DRL,939.47,940.22,15.0
BKRL,946.08,946.83,15.0
CPN,952.0,952.75,15.0
LAN,957.76,958.51,15.0
SMLA,963.21,963.96,15.0
AIR,969.37,970.12,15.0
